iter	Passed	Remaining
0	59	597769
1	92	463109
2	126	420373
3	202	505659
4	234	469568
5	265	441796
6	297	424264
7	328	410391
8	358	398445
9	410	409952
10	442	401916
11	473	394322
12	521	400406
13	614	438491
14	703	468397
15	770	480910
16	799	469786
17	826	458465
18	854	448815
19	880	439525
20	908	431509
21	936	424877
22	965	418668
23	995	413990
24	1024	408862
25	1053	404306
26	1080	399270
27	1108	394893
28	1138	391294
29	1167	388055
30	1195	384292
31	1223	381241
32	1251	378139
33	1279	375181
34	1306	371950
35	1334	369447
36	1365	367659
37	1393	365344
38	1421	363165
39	1450	361180
40	1481	359919
41	1508	357707
42	1537	356007
43	1567	354761
44	1594	352839
45	1622	351126
46	1648	349069
47	1676	347537
48	1702	345648
49	1728	344020
50	1754	342357
51	1781	340734
52	1808	339474
53	1836	338290
54	1863	336929
55	1889	335486
56	1915	334169
57	1943	333097
58	1968	331659
59	1997	330856
60	2026	330216
61	2056	329648
62	2088	329424
63	2117	328806
64	2149	328514
65	2180	328245
66	2211	327924
67	2244	327780
68	2277	327751
69	2308	327508
70	2340	327348
71	2374	327401
72	2405	327097
73	2436	326871
74	2469	326828
75	2500	326454
76	2532	326341
77	2565	326336
78	2600	326565
79	2633	326578
80	2664	326326
81	2697	326306
82	2728	326049
83	2760	325895
84	2794	325995
85	2828	326069
86	2863	326271
87	2897	326316
88	2928	326115
89	2960	326010
90	2991	325754
91	3025	325794
92	3056	325650
93	3089	325622
94	3122	325519
95	3155	325507
96	3188	325521
97	3221	325472
98	3252	325301
99	3283	325077
100	3317	325109
101	3351	325268
102	3385	325270
103	3419	325344
104	3450	325200
105	3484	325221
106	3515	325070
107	3549	325072
108	3580	324913
109	3610	324621
110	3641	324386
111	3673	324273
112	3705	324190
113	3737	324074
114	3769	324005
115	3800	323837
116	3833	323843
117	3865	323718
118	3896	323532
119	3926	323282
120	3961	323397
121	3991	323206
122	4025	323233
123	4055	322982
124	4083	322616
125	4111	322218
126	4138	321746
127	4167	321421
128	4196	321126
129	4224	320744
130	4252	320397
131	4279	319906
132	4306	319511
133	4334	319125
134	4363	318841
135	4392	318583
136	4419	318203
137	4448	317924
138	4481	317910
139	4508	317533
140	4537	317258
141	4564	316903
142	4595	316748
143	4625	316614
144	4655	316433
145	4684	316167
146	4712	315897
147	4741	315639
148	4771	315444
149	4800	315261
150	4830	315048
151	4860	314913
152	4891	314809
153	4921	314633
154	4950	314446
155	4982	314416
156	5012	314264
157	5041	314055
158	5070	313859
159	5100	313657
160	5127	313340
161	5159	313357
162	5189	313175
163	5218	312972
164	5245	312674
165	5274	312494
166	5305	312361
167	5335	312229
168	5366	312179
169	5396	312030
170	5426	311903
171	5455	311739
